time,error,ip,referrer
2022-11-14 00:00:04.344073, ssl:error, AH02604,
2022-11-14 00:00:04.350976, mpm_prefork:notice, AH00163,
2022-11-14 00:00:04.350996, core:notice, AH00094,
2022-11-14 11:28:57.170017, php7:notice, 10.222.129.32," PHP Notice:  Undefined index: message in /people/home/cdevkota/public_html/login/login.php on line 9, referer: http://clabsql.clamv.jacobs-university.de/~cdevkota/"
2022-11-14 11:28:57.170079, php7:notice, 10.222.129.32," PHP Notice:  Undefined index: invalid in /people/home/cdevkota/public_html/login/login.php on line 15, referer: http://clabsql.clamv.jacobs-university.de/~cdevkota/"
2022-11-14 14:40:10.528074, php7:error, 10.82.190.139, script '/people/home/gim/public_html/abc.php' not found or unable to stat
2022-11-14 14:40:17.044957, php7:notice, 10.82.190.139," , referer: http://clabsql.clamv.jacobs-university.de/~gim/page/login_for_room.html"
2022-11-14 14:52:46.463591, php7:error, 10.82.190.139, script '/people/home/gim/public_html/adc.php' not found or unable to stat
2022-11-14 14:52:54.472407, php7:notice, 10.82.190.139," , referer: http://clabsql.clamv.jacobs-university.de/~gim/page/login_for_book.html"
2022-11-14 14:52:56.162438, php7:notice, 10.82.190.139," , referer: http://clabsql.clamv.jacobs-university.de/~gim/page/login_for_book.html"
2022-11-14 15:09:03.694791, php7:notice, 10.82.190.139," , referer: http://clabsql.clamv.jacobs-university.de/~gim/page/login_for_book.html"
2022-11-14 15:19:13.016247, php7:notice, 10.82.190.178," , referer: http://clabsql.clamv.jacobs-university.de/~gim/page/login_for_book.html"
2022-11-14 15:19:17.818427, php7:notice, 10.82.190.178," , referer: http://clabsql.clamv.jacobs-university.de/~gim/page/login_for_book.html"
2022-11-14 15:19:38.117481, php7:error, 10.82.190.178, script '/people/home/gim/public_html/jddj.php' not found or unable to stat
2022-11-14 15:41:37.045829, core:crit, (13)Permission denied," AH00529: /people/home/akaleci/public_html/sql/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/people/home/akaleci/public_html/sql/' is executable"
2022-11-14 15:41:37.053543, core:crit, (13)Permission denied," AH00529: /people/home/akaleci/public_html/ssl/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/people/home/akaleci/public_html/ssl/' is executable"
2022-11-14 15:42:34.257575, core:error, (13)Permission denied," AH00132: file permissions deny server access: /people/home/akaleci/public_html/log/access.csv, referer: http://clabsql.clamv.jacobs-university.de/~akaleci/log/"
2022-11-14 15:43:05.018916, php7:warn, 10.82.194.224," PHP Warning:  mysqli::__construct(): (HY000/1045): Access denied for user 'group7read_only'@'localhost' (using password: YES) in /people/home/akaleci/public_html/html/main/db_connection.php on line 30, referer: http://clabsql.clamv.jacobs-university.de/~akaleci/html/maintenance.php"
2022-11-14 15:43:05.018963, php7:warn, 10.82.194.224," PHP Warning:  mysqli_query(): Couldn't fetch mysqli in /people/home/akaleci/public_html/html/search/search_1.php on line 45, referer: http://clabsql.clamv.jacobs-university.de/~akaleci/html/maintenance.php"
